ID,Position Title,Start Date,Hourly Wage
1,Early Childhood Teacher,11/13/2017,11
2,Early Childhood Teacher,10/23/2017,10
3,Early Childhood Teacher,5/1/2014,9.5
4,Early Childhood Teacher,12/20/1994,18.5
5,Early Childhood Teacher,2/1/2008,16.22
6,Early Childhood Teacher,10/1/2017,10
7,Early Childhood Teacher,8/15/2016,19.27
8,Early Childhood Teacher,7/6/2017,9
9,Early Childhood Teacher,6/1/1998,12.5
10,Early Childhood Teacher,10/1/2013,11
11,Early Childhood Teacher,8/14/2015,14.76
12,Early Childhood Teacher,8/29/2016,11.75
13,Early Childhood Teacher,4/15/2014,11
14,Early Childhood Teacher,12/7/2009,11.15
15,Early Childhood Teacher,8/30/2010,9.5
16,Early Childhood Teacher,3/16/2016,11
17,Early Childhood Teacher,9/7/2017,11.5
18,Early Childhood Teacher,9/1/1990,13.4
19,Early Childhood Teacher,10/1/2014,9.5
20,Early Childhood Teacher,11/14/2016,10
21,Early Childhood Teacher,8/1/2011,11.76
22,Early Childhood Teacher,3/1/2017,10
23,Early Childhood Teacher,1/1/2012,8.5
24,Early Childhood Teacher,6/12/2017,10.5
25,Early Childhood Teacher,9/2/2005,10.82
26,Early Childhood Teacher,11/6/1995,16.58
27,Early Childhood Teacher,8/27/2015,11.78
28,Early Childhood Teacher,1/3/2017,9.75
29,Early Childhood Teacher,9/1/2015,8.3
30,Early Childhood Teacher,8/10/2015,17
31,Early Childhood Teacher,1/19/2016,10.04
32,Early Childhood Teacher,9/12/2017,10
33,Early Childhood Teacher,10/20/2017,11.25
34,Early Childhood Teacher,8/31/2010,15
35,Early Childhood Teacher,8/17/2015,10
36,Early Childhood Teacher,8/21/2016,9
37,Early Childhood Teacher,3/6/2017,12
38,Early Childhood Teacher,6/12/2017,12
39,Early Childhood Teacher,11/9/2016,11
40,Early Childhood Teacher,1/8/2018,12.5
41,Early Childhood Teacher,9/1/2012,15
42,Early Childhood Teacher,11/1/2017,9.5
43,Early Childhood Teacher,6/1/2009,15
44,Early Childhood Teacher,8/14/2017,10.5
45,Early Childhood Teacher,2/17/2017,14
46,Early Childhood Teacher,11/28/2017,9
47,Early Childhood Teacher,2/11/2017,10
48,Early Childhood Teacher,8/24/2009,14
49,Early Childhood Teacher,10/25/2017,11
50,Early Childhood Teacher,9/20/2012,9.5
51,Early Childhood Teacher,4/28/2015,11
52,Early Childhood Teacher,9/4/2013,10.5
53,Early Childhood Teacher,2/13/2017,10.4
54,Early Childhood Teacher,8/25/2013,11
55,Early Childhood Teacher,2/28/2007,11.44
56,Early Childhood Teacher,2/16/2017,12.87
57,Early Childhood Teacher,3/10/2016,10.46
58,Early Childhood Teacher,8/11/2014,14.62
59,Early Childhood Teacher,10/13/2014,10.96
60,Early Childhood Teacher,4/12/2017,9.5
61,Early Childhood Teacher,8/27/2012,9.35
62,Early Childhood Teacher,10/1/2016,10
63,Early Childhood Teacher,10/25/2010,13.47
64,Early Childhood Teacher,7/30/2013,11.5
65,Early Childhood Teacher,12/9/2013,12
66,Early Childhood Teacher,9/1/2015,12.85
67,Early Childhood Teacher,8/25/2006,15.42
68,Early Childhood Teacher,9/6/2009,11.25
69,Early Childhood Teacher,9/18/2017,11
70,Early Childhood Teacher,4/29/2009,8.58
71,Early Childhood Teacher,1/3/2017,10.25
72,Early Childhood Teacher,10/31/2016,14.12
73,Early Childhood Teacher,8/15/2016,8.9
74,Early Childhood Teacher,3/31/2016,11
75,Early Childhood Teacher,10/28/1994,17.04
76,Early Childhood Teacher,9/2/2015,14.05
77,Early Childhood Teacher,6/8/2017,10.5
78,Early Childhood Teacher,5/25/2015,9.5
79,Early Childhood Teacher,8/31/2015,9.27
80,Early Childhood Teacher,9/17/2017,10.75
81,Early Childhood Teacher,10/14/2015,10.85
82,Early Childhood Teacher,8/23/2017,19.39
83,Early Childhood Teacher,8/29/2016,10
84,Early Childhood Teacher,6/10/2011,9.25
85,Early Childhood Teacher,8/22/2016,9.5
86,Early Childhood Teacher,9/26/2017,12
87,Early Childhood Teacher,11/30/2015,15.59
88,Early Childhood Teacher,12/19/2011,11
89,Early Childhood Teacher,8/28/2014,8.95
90,Early Childhood Teacher,10/13/2014,11
91,Early Childhood Teacher,2/13/2017,10.4
92,Early Childhood Teacher,8/26/2002,17.42
93,Early Childhood Teacher,10/8/2014,10
94,Early Childhood Teacher,8/30/2016,10.25
95,Early Childhood Teacher,8/24/2017,25.96
96,Early Childhood Teacher,1/2/2017,9
97,Early Childhood Teacher,11/1/2012,14.62
98,Early Childhood Teacher,8/1/2017,10
99,Early Childhood Teacher,2/13/2017,8.5
100,Early Childhood Teacher,6/1/2015,10
101,Early Childhood Teacher,7/19/2016,9.72
102,Early Childhood Teacher,3/21/2011,11
103,Early Childhood Teacher,9/29/2014,13.81
104,Early Childhood Teacher,10/13/2005,9.2
105,Early Childhood Teacher,4/1/2009,13.2
106,Early Childhood Teacher,8/21/2017,18.75
107,Early Childhood Teacher,2/1/2017,10.5
108,Early Childhood Teacher,12/7/2016,13
109,Early Childhood Teacher,1/12/2017,11.47
110,Early Childhood Teacher,3/28/2012,16.14
111,Early Childhood Teacher,8/6/2012,10.35
112,Early Childhood Teacher,6/27/2016,14.9
113,Early Childhood Teacher,7/5/2016,12
114,Early Childhood Teacher,7/1/2014,8.75
115,Early Childhood Teacher,7/1/2013,15.5
116,Early Childhood Teacher,8/28/2007,8.5
117,Early Childhood Teacher,3/9/2016,10.3
118,Early Childhood Teacher,8/8/2017,9.5
119,Early Childhood Teacher,10/5/2016,14.62
120,Early Childhood Teacher,1/2/2018,10
121,Early Childhood Teacher,7/27/2011,10.15
122,Early Childhood Teacher,9/4/2017,10.5
123,Early Childhood Teacher,11/9/2015,8.5
124,Early Childhood Teacher,7/24/2013,8.3
125,Early Childhood Teacher,1/2/2018,14
126,Early Childhood Teacher,8/18/2017,10.5
127,Early Childhood Teacher,9/11/2017,10
128,Early Childhood Teacher,9/2/2013,16
129,Early Childhood Teacher,6/1/2009,9.3
130,Early Childhood Teacher,4/14/2014,11.4
131,Early Childhood Teacher,8/15/2016,15.09
132,Early Childhood Teacher,2/20/2018,8.75
133,Early Childhood Teacher,6/3/2015,10.5
134,Early Childhood Teacher,8/22/2017,12
135,Early Childhood Teacher,7/30/2014,11.5
136,Early Childhood Teacher,8/26/2016,14
137,Early Childhood Teacher,9/6/2016,15.64
138,Early Childhood Teacher,3/3/2014,8.3
139,Early Childhood Teacher,9/2/2014,11.5
140,Early Childhood Teacher,8/1/2012,25
141,Early Childhood Teacher,1/31/2017,14.25
142,Early Childhood Teacher,8/20/2004,11.8
143,Early Childhood Teacher,9/5/2017,9.81
144,Early Childhood Teacher,8/15/2016,15.88
145,Early Childhood Teacher,11/3/2016,11.36
146,Early Childhood Teacher,7/5/2017,10.5
147,Early Childhood Teacher,7/25/2016,11
148,Early Childhood Teacher,9/26/2014,8.5
149,Early Childhood Teacher,1/1/2017,12
150,Early Childhood Teacher,8/12/2010,14.33
151,Early Childhood Teacher,6/13/2016,8.3
152,Early Childhood Teacher,9/9/2015,13.5
153,Early Childhood Teacher,2/2/2007,10.85
154,Early Childhood Teacher,2/11/2015,11.5
155,Early Childhood Teacher,10/1/2001,17.25
156,Early Childhood Teacher,9/3/2000,20
157,Early Childhood Teacher,5/1/2010,14.68
158,Early Childhood Teacher,6/12/2017,13.36
159,Early Childhood Teacher,9/2/1992,15.8
160,Early Childhood Teacher,10/1/2015,12.6
161,Early Childhood Teacher,4/20/2015,10.36
162,Early Childhood Teacher,8/8/2017,11
163,Early Childhood Teacher,9/18/2017,12.2
164,Early Childhood Teacher,8/15/2017,12.25
165,Early Childhood Teacher,9/4/2015,12.5
166,Early Childhood Teacher,8/29/2012,8.3
167,Early Childhood Teacher,7/17/2017,13
168,Early Childhood Teacher,12/21/2016,10
169,Early Childhood Teacher,11/4/2013,8.5
170,Early Childhood Teacher,3/6/2006,11.02
171,Early Childhood Teacher,8/26/2013,11.25
172,Early Childhood Teacher,1/1/2015,12
173,Early Childhood Teacher,12/19/2016,10.25
174,Early Childhood Teacher,8/29/2016,23.55
175,Early Childhood Teacher,1/5/2017,9
176,Early Childhood Teacher,6/28/2017,10.5
177,Early Childhood Teacher,10/7/1992,17.79
178,Early Childhood Teacher,3/15/2016,10
179,Early Childhood Teacher,8/26/2009,25
180,Early Childhood Teacher,3/13/2017,10
181,Early Childhood Teacher,8/20/2013,26.33
182,Early Childhood Teacher,8/25/2003,15.4
183,Early Childhood Teacher,3/2/2015,14.5
184,Early Childhood Teacher,8/11/2016,15.32
185,Early Childhood Teacher,2/8/2017,11
186,Early Childhood Teacher,8/26/2015,16.23
187,Early Childhood Teacher,4/1/2007,10.1
188,Early Childhood Teacher,9/6/2016,11
189,Early Childhood Teacher,1/22/2018,10
190,Early Childhood Teacher,9/1/2017,12
191,Early Childhood Teacher,12/26/2011,16.39
192,Early Childhood Teacher,12/29/2014,11.36
193,Early Childhood Teacher,8/9/2017,10
194,Early Childhood Teacher,12/7/2015,12
195,Early Childhood Teacher,7/17/2017,14.45
196,Early Childhood Teacher,4/30/2012,11.5
197,Early Childhood Teacher,10/16/2017,11
198,Early Childhood Teacher,2/20/2017,9.5
199,Early Childhood Teacher,7/6/2006,15.44
200,Early Childhood Teacher,8/23/2017,14.82
201,Early Childhood Teacher,9/23/2016,10
202,Early Childhood Teacher,6/1/1993,14.18
203,Early Childhood Teacher,3/12/2007,11.11
204,Early Childhood Teacher,8/9/2016,12.9
205,Early Childhood Teacher,4/1/2014,15
206,Early Childhood Teacher,7/13/2017,10.1
207,Early Childhood Teacher,8/31/2013,15.84
208,Early Childhood Teacher,8/23/2017,11.15
209,Early Childhood Teacher,9/5/2017,9.15
210,Early Childhood Teacher,9/1/2001,12
211,Early Childhood Teacher,7/21/2015,21.54
212,Early Childhood Teacher,1/17/2018,18
213,Early Childhood Teacher,6/4/2007,8.3
214,Early Childhood Teacher,4/28/2017,9.5
215,Early Childhood Teacher,11/1/2017,10
216,Early Childhood Teacher,6/8/2015,19.39
217,Early Childhood Teacher,9/27/2013,11.5
218,Early Childhood Teacher,12/15/2013,13.33
219,Early Childhood Teacher,7/21/2015,10
220,Early Childhood Teacher,5/24/2017,15
221,Early Childhood Teacher,1/3/2017,11
222,Early Childhood Teacher,12/1/2015,11
223,Early Childhood Teacher,2/1/2017,11.4
224,Early Childhood Teacher,10/13/2003,8.3
225,Early Childhood Teacher,6/6/2016,14
226,Early Childhood Teacher,4/1/2017,13
227,Early Childhood Teacher,7/13/2015,16.25
228,Early Childhood Teacher,9/25/2017,9
229,Early Childhood Teacher,9/19/2016,10.25
230,Early Childhood Teacher,9/5/2016,10.6
231,Early Childhood Teacher,9/11/2017,10.25
232,Early Childhood Teacher,8/29/2014,22
233,Early Childhood Teacher,4/18/2016,9.37
234,Early Childhood Teacher,1/3/2017,10
235,Early Childhood Teacher,12/3/2007,11
236,Early Childhood Teacher,6/15/2015,14.2
237,Early Childhood Teacher,2/4/2014,15.34
238,Early Childhood Teacher,5/31/2017,11.33
239,Early Childhood Teacher,1/26/2015,8.5
240,Early Childhood Teacher,9/5/2017,10
241,Early Childhood Teacher,9/1/2017,11
242,Early Childhood Teacher,9/1/2017,9
243,Early Childhood Teacher,5/1/2017,10
244,Early Childhood Teacher,7/10/2017,9
245,Early Childhood Teacher,6/6/2017,10
246,Early Childhood Teacher,10/15/2016,9.5
247,Early Childhood Teacher,8/17/2016,17.25
248,Early Childhood Teacher,10/1/2015,9
249,Early Childhood Teacher,12/12/2016,9.5
250,Early Childhood Teacher,8/10/2015,11
251,Early Childhood Teacher,2/1/2016,13.56
252,Early Childhood Teacher,10/16/2017,10
253,Early Childhood Teacher,9/26/2012,10.74
254,Early Childhood Teacher,2/1/2010,12
255,Early Childhood Teacher,7/6/2017,10.5
256,Early Childhood Teacher,4/28/2017,10.5
257,Early Childhood Teacher,1/1/2017,13
258,Early Childhood Teacher,12/5/2016,11
259,Early Childhood Teacher,9/5/2017,16.06
260,Early Childhood Teacher,6/1/2016,13.5
261,Early Childhood Teacher,11/16/2017,11
262,Early Childhood Teacher,9/15/2009,15.5
263,Early Childhood Teacher,7/22/2015,12
264,Early Childhood Teacher,7/17/2017,10.25
265,Early Childhood Teacher,1/29/2018,17
266,Early Childhood Teacher,10/9/2017,9.5
267,Early Childhood Teacher,8/30/2017,12.25
268,Early Childhood Teacher,3/13/2017,11
269,Early Childhood Teacher,2/13/2017,11.1
270,Early Childhood Teacher,10/25/2012,13.31
271,Early Childhood Teacher,5/18/2016,10.29
272,Early Childhood Teacher,5/26/2016,13.2
273,Early Childhood Teacher,12/1/2017,10.5
274,Early Childhood Teacher,6/15/2015,14.62
275,Early Childhood Teacher,8/17/2015,21.92
276,Early Childhood Teacher,9/6/2005,12.04
277,Early Childhood Teacher,2/16/2016,10.75
278,Early Childhood Teacher,10/2/2017,11.25
279,Early Childhood Teacher,9/11/2006,10.25
280,Early Childhood Teacher,6/29/2010,14.72
281,Early Childhood Teacher,10/3/2016,8.3
282,Early Childhood Teacher,8/18/2017,12.5
283,Early Childhood Teacher,8/1/2016,19.39
284,Early Childhood Teacher,1/29/2018,10.5
285,Early Childhood Teacher,2/15/1992,13.45
286,Early Childhood Teacher,8/28/2015,10.26
287,Early Childhood Teacher,8/27/2015,15.1
288,Early Childhood Teacher,8/23/2017,21.23
289,Early Childhood Teacher,2/13/2017,11.35
290,Early Childhood Teacher,6/15/2013,15.6
291,Early Childhood Teacher,1/23/2018,10
292,Early Childhood Teacher,9/5/2017,11
293,Early Childhood Teacher,10/17/2016,15.5
294,Early Childhood Teacher,6/16/2010,19.25
295,Early Childhood Teacher,5/24/2013,12
296,Early Childhood Teacher,8/15/2004,13.91
297,Early Childhood Teacher,2/26/2012,11.25
298,Early Childhood Teacher,12/2/2014,16.18
299,Early Childhood Teacher,8/18/2004,13
300,Early Childhood Teacher,9/3/2005,14.95
301,Early Childhood Teacher,12/4/2017,14.48
302,Early Childhood Teacher,1/1/1975,15.63
303,Early Childhood Teacher,6/10/2014,20
304,Early Childhood Teacher,6/1/2015,12.5
305,Early Childhood Teacher,5/1/2009,13.5
306,Early Childhood Teacher,3/31/2014,11
307,Early Childhood Teacher,9/17/2007,9.3
308,Early Childhood Teacher,9/29/2017,14.62
309,Early Childhood Teacher,3/19/2018,10
310,Early Childhood Teacher,4/18/2016,9.37
311,Early Childhood Teacher,7/11/2016,14.16
312,Early Childhood Teacher,6/1/2015,11.5
313,Early Childhood Teacher,9/5/2017,8.75
314,Early Childhood Teacher,11/17/2014,13.71
315,Early Childhood Teacher,12/27/2017,10.5
316,Early Childhood Teacher,8/24/2015,11.25
317,Early Childhood Teacher,2/14/2014,10.25
318,Early Childhood Teacher,4/1/2016,12.05
319,Early Childhood Teacher,9/1/2014,10
320,Early Childhood Teacher,10/27/2017,15.32
321,Early Childhood Teacher,10/30/2017,9
322,Early Childhood Teacher,8/17/2010,13
323,Early Childhood Teacher,11/14/2017,14.4
324,Early Childhood Teacher,11/29/2017,14.99
325,Early Childhood Teacher,1/4/2016,10.5
326,Early Childhood Teacher,9/1/2017,8.5
327,Early Childhood Teacher,8/30/2016,13.17
328,Early Childhood Teacher,3/3/2015,10
329,Early Childhood Teacher,2/13/2017,13.5
330,Early Childhood Teacher,9/1/2015,9
331,Early Childhood Teacher,2/19/2018,8.3
332,Early Childhood Teacher,5/17/2017,10
333,Early Childhood Teacher,9/16/2013,9.87
334,Early Childhood Teacher,9/30/2013,10.75
335,Early Childhood Teacher,7/1/1993,12.25
336,Early Childhood Teacher,2/1/2017,9.5
337,Early Childhood Teacher,2/6/2017,10.6
338,Early Childhood Teacher,5/16/2016,8.3
339,Early Childhood Teacher,11/1/2004,14.78
340,Early Childhood Teacher,12/11/2012,15.09
341,Early Childhood Teacher,8/29/2017,14.57
342,Early Childhood Teacher,9/5/2017,12.1
343,Early Childhood Teacher,9/1/2017,9
344,Early Childhood Teacher,1/18/2018,9.25
345,Early Childhood Teacher,5/25/2004,38.78
346,Early Childhood Teacher,8/10/2015,18.77
347,Early Childhood Teacher,6/16/2011,13.5
348,Early Childhood Teacher,9/9/2017,13.81
349,Early Childhood Teacher,6/4/2007,16.08
350,Early Childhood Teacher,1/3/2016,14
351,Early Childhood Teacher,3/20/2006,10.6
352,Early Childhood Teacher,11/1/2016,11.47
353,Early Childhood Teacher,10/1/2014,14.94
354,Early Childhood Teacher,5/16/2012,9.5
355,Early Childhood Teacher,1/8/2018,8.3
356,Early Childhood Teacher,8/1/2016,15.73
357,Early Childhood Teacher,4/24/2017,10
358,Early Childhood Teacher,9/5/2017,10
359,Early Childhood Teacher,9/2/2014,15.42
360,Early Childhood Teacher,7/18/2016,10
361,Early Childhood Teacher,6/6/2013,8.5
362,Early Childhood Teacher,9/1/2017,8.5
363,Early Childhood Teacher,2/13/2017,10.75
364,Early Childhood Teacher,8/18/2014,21.23
365,Early Childhood Teacher,9/11/2017,14
366,Early Childhood Teacher,8/13/2012,19.32
367,Early Childhood Teacher,3/26/2018,8.3
368,Early Childhood Teacher,1/3/2017,12.27
369,Early Childhood Teacher,8/24/2017,10.5
370,Early Childhood Teacher,3/27/2017,8.5
371,Early Childhood Teacher,9/2/2014,9.6
372,Early Childhood Teacher,8/1/2017,11.6
373,Early Childhood Teacher,8/26/2014,8.3
374,Early Childhood Teacher,9/18/2006,16.11
375,Early Childhood Teacher,9/14/2017,10.1
376,Early Childhood Teacher,7/22/2014,9.5
377,Early Childhood Teacher,8/1/2016,13.82
378,Early Childhood Teacher,8/28/2017,17.3
379,Early Childhood Teacher,1/1/2013,10.25
380,Early Childhood Teacher,8/7/2017,10.5
381,Early Childhood Teacher,1/3/2014,10.93
382,Early Childhood Teacher,2/28/2010,12.83
383,Early Childhood Teacher,8/24/2015,13.71
384,Early Childhood Teacher,3/15/2016,12.5
385,Early Childhood Teacher,8/1/2008,10.5
386,Early Childhood Teacher,7/11/2017,10.08
387,Early Childhood Teacher,4/28/2003,12.17
388,Early Childhood Teacher,5/20/2002,17
389,Early Childhood Teacher,10/6/2006,13
390,Early Childhood Teacher,8/23/2017,10
391,Early Childhood Teacher,9/7/2016,15.88
392,Early Childhood Teacher,1/3/2012,14.15
393,Early Childhood Teacher,8/28/2015,9.5
394,Early Childhood Teacher,9/18/2015,10.25
395,Early Childhood Teacher,1/15/2017,15.5
396,Early Childhood Teacher,8/15/2011,33.67
397,Early Childhood Teacher,5/9/2017,10.25
398,Early Childhood Teacher,9/12/2006,13.2
399,Early Childhood Teacher,11/27/2010,15.52
400,Early Childhood Teacher,5/15/2017,13
401,Early Childhood Teacher,7/21/2003,15.67
402,Early Childhood Teacher,8/25/2016,14.27
403,Early Childhood Teacher,6/14/2017,12
404,Early Childhood Teacher,12/16/2017,11.5
405,Early Childhood Teacher,1/23/2017,9.25
406,Early Childhood Teacher,11/3/2014,11.9
407,Early Childhood Teacher,9/19/2016,9
408,Early Childhood Teacher,6/25/2012,8.95
409,Early Childhood Teacher,11/16/2015,14.63
410,Early Childhood Teacher,3/24/2015,9.5
411,Early Childhood Teacher,9/27/2010,11
412,Early Childhood Teacher,2/1/2018,9
413,Early Childhood Teacher,10/15/2007,13.48
414,Early Childhood Teacher,10/21/2013,10
415,Early Childhood Teacher,9/12/2016,12.9
416,Early Childhood Teacher,11/23/2015,11
417,Early Childhood Teacher,9/28/2015,12
418,Early Childhood Teacher,7/27/2015,14
419,Early Childhood Teacher,4/1/2014,15.6
420,Early Childhood Teacher,2/3/2017,9.5
421,Early Childhood Teacher,8/15/2016,16
422,Early Childhood Teacher,3/18/2016,8.5
423,Early Childhood Teacher,8/20/2014,13
424,Early Childhood Teacher,6/9/2016,9
425,Early Childhood Teacher,11/1/2017,10.5
426,Early Childhood Teacher,5/1/2017,11
427,Early Childhood Teacher,1/6/2015,10.05
428,Early Childhood Teacher,9/6/2016,18.67
429,Early Childhood Teacher,8/31/2017,8.5
430,Early Childhood Teacher,9/21/2017,14
431,Early Childhood Teacher,9/29/2017,9.25
432,Early Childhood Teacher,12/15/2013,12.25
433,Early Childhood Teacher,8/23/2007,17.36
434,Early Childhood Teacher,2/13/2017,10.4
435,Early Childhood Teacher,1/1/2017,10.25
436,Early Childhood Teacher,8/5/2013,15.92
437,Early Childhood Teacher,5/15/2017,16.5
438,Early Childhood Teacher,4/2/2018,9
439,Early Childhood Teacher,1/1/2001,11.14
440,Early Childhood Teacher,9/1/1996,12.02
441,Early Childhood Teacher,11/11/2014,11
442,Early Childhood Teacher,8/4/2016,9.75
443,Early Childhood Teacher,8/22/2016,10
444,Early Childhood Teacher,4/10/2017,9
445,Early Childhood Teacher,9/8/2015,15.8
446,Early Childhood Teacher,10/1/2016,10
447,Early Childhood Teacher,6/4/2015,14.36
448,Early Childhood Teacher,9/5/2017,14
449,Early Childhood Teacher,9/6/2011,9.4
450,Early Childhood Teacher,2/23/2015,10.96
451,Early Childhood Teacher,8/26/2016,11.5
452,Early Childhood Teacher,4/18/2017,13
453,Early Childhood Teacher,7/18/2009,13.34
454,Early Childhood Teacher,9/2/2014,15.42
455,Early Childhood Teacher,5/13/2013,14.75
456,Early Childhood Teacher,5/13/2013,11.25
457,Early Childhood Teacher,2/1/2014,11
458,Early Childhood Teacher,6/6/2017,10.25
459,Early Childhood Teacher,12/1/2014,12.5
460,Early Childhood Teacher,3/4/2013,15.06
461,Early Childhood Teacher,2/13/2017,9
